Foldername,Crossveinless_one_wing,Crossveinless_two_wings,Crossveinless_which_side,Crossvein_extra_vein,Disconnectedvein,Total_wings
phen2305_b1,"2B,3A,3D,5F,7G,8B,9C,11A,11B,11C",,"2BL,3AR,3DR,5FR,7GR,8BL,9CR,11AR,11BR,11CR",,,157
phen2305_b2,"1D,1F,2D,2G,3F,3G,3H,6H,7C,7D,7E,8A,8E,10B,10C,10E,","3B,4B","1DR,1FR,2DR,2GL,3BL,3BR,3FL,3GL,3HR,4BL,4BR,6HR,7CL,7DR,7EL,8AL,8ER,10BL,10CL,10ER,",,,135
phen2405_b1,"1A,1C,1F,1B,2D,2H,3A,4A,4F,4G,4H,5A,5B,5E,5G,6A,6B,7D,8D,8G,8H,9C,9D,9G,10A,11E,11G,12B","5F,7A,10B,11F,2C","1AR,1CR,1FR,1BL,2DL,2HL,3AR,4AL,4FL,4GR,4HL,5AR,5BL,5ER,5FL,5FR,5GR,6AR,6BR,7AL,7AR,7DL,8DR,8GL,8HR,9CR,9DL,9GL,10AR,10BL,10BR,11EL,11FL,11FR,11GL,12BR","2CL,2CR,3EL,3FR",,184
phen2405_b2,"1F,2B,2C,2D,2E,3A,3C,3D,4D,4E,4E,4F,5D,5F,6D,6H,7B,7G,8B,8F,9A,9H,10D","2F,3H,4C,4E,8D,8H,9E","1FR,2BL,2CR,2DL,2EL,2FL,2FR,3AL,3CR,3DL,3HL,3HR,4CL,4CR,4DR,4EL,4ER,4FL,5DL,5FR,6DL,6HR,7BL,7GR,8BL,8DL,8DR,8FR,8HL,8HR,9AR,9EL,9ER,9HR,10DL,","5FL,6EL,",10AL,
phen2505_b1,"1B,1F,3A,4A,6H,7B,8B,8C,8D,9C,9D,9G,11B,11D,11F,11G,12D","4D,5H,6A,11E","1BR,1FR,3AL,4AL,4DL,4DR,5HL,5HR,6AL,6AR,6HR,7BL,8BR,8CR,8DR,9CL,9DR,9GR,11BL,11DL,11EL,11ER,11FR,11GR,12DR","3EL,5AL,6DL,6GL,10GR",,176
phen2505_b2,"1F,2A,3A,3D,3E,4D,6D,6E,6G,7A,7D,7G,8B,8H,9E,11B,11F,11G,12C,12D,12F,13A,13D","2H,12H","1FR,2AL,2HL,2HR,3AR,3DL,3EL,4DR,6DR,6EL,6GR,7AR,7DR,7GL,8BL,8HL,9ER,11BL,11FL,11GL,12CL,12DL,12FL,12HL,12HR,13AL,13DR,","5ER,14AR,",,200
phen2605_b1,"3C,3E,4A,4F,6A,6F,7B,7C,7D,8D,8F",5H,"3CL,3EL,4AR,4FL,5HL,5HR,6AL,6FL,7BL,7CL,7DR,8DR,8FL",4GR,,
phen2605_b2,"1A,1H,2B,2D,3A,3H,4A,4C,4D,5D,5F,6A,6B,6F,7C,8E,9F,10A,10F,","4F,5E,6D,7H","1AL,1HL,2BR,2DL,3AR,3HL,4AL,4CL,4DL,4FL,4FR,5DR,5EL,5ER,5FR,6AR,6BR,6DL,6DR,6FL,7CL,7HL,7HR,8ER,9FL,10AL,10FR,",,10AL,
phen2705_b1,"1C,1G,1A,2E,3F,3G,5H,6E,6F,6G,7B,7C,8A,8E,9B,9D,10C,10D,10F,10G,10H,11C,11G,12A,12B,12C","2D,3A,3H,4D,4H,5B,6D,8F,12F","1CL,1GR,1AL,2DL,2DR,2ER,3AL,3AR,3FR,3GL,3HL,3HR,4DL,4DR,4HL,4HR,5BL,5BH,5HR,6DL,6DR,6ER,6FR,6GR,7BR,7CR,8AL,8ER,9BR,9DR,10CL,10DL,10FL,10GL,10HL,11CL,11GR,12AL,12BR,12CL,12FR","1BL,8FL,8FR,11BL,12FL",,175
phen2705_b2,"2A,2F,3A,4A,6C,6D,10B,10E,10G,11B,11F,12A,12B","3E,6G,8A,8B","2AL,2FL,3AL,3EL,3ER,4AR,6CR,6DR,6GL,6GR,8AL,8AR,8BR,10BR,10ER,10GL,11BL,11FR,12AR,12BL",8BL,"6CL,10GR",156
phen0906_B1,"2A,3F,3G,4D,4H,5E,6B,6F,7B,9B,9H,10B,10C,10D,10H,11C,11F,11H,12D,12F,12G,13D","1E,2E,5F,6A,10A,11D,11G,12A,12B","1EL,2AR,2EL,2ER,3FL,3GL,4DR,4HL,5ER,5FL,5FR,6AR,6AL,6BR,6FL,7BR,9BL,9HL,10AL,10AR,10BR,10CL,10DR,10HL,11CR,11DL,11DR,11FR,11GL,11GR,11HL,12AL,12AR,12BL,12BR,12DR,12FL,12GL,13DR","1ER,4CL,5AL,6HL","2FR,2FL,5HR,8ER,10DL",
phen1708_b1,"11B,10F,10D,10C,9A,8G,7H,7F,7D,6F,5F,5E,5D,4F,3B,2E,1H,1A","5C,5H,6C,8F,9G,4D","11BR,10FR,10DR,10CL,9GR,9AR,8GL,8FR,8FL,7HR,7FR,7DR,6FR,6CR,6CL,5HR,5HL,5FL,5EL,5DL,5CR,5CL,4FR,4DL,3BL,2ER,1HR,1AR","11ER,9GL,4DR,3EL,3AL",5DR,144
phen1808_b2,"2F,3C,3C,3D,3F,3H,4E,5C,6A,6B,6C,6C,6E,9G,6H,7B,7F,7G,8D,8E,8E,8F,8G,8H,8H,9F,9F,10E,10E,11A,12A,12B,12F,12H,",,"2FR,3CL,3CR,3DR,3FR,3HR,4ER,5CR,6AR,6BL,6CL,6CR,6EL,9GR,6HL,7BR,7FL,7GL,8DR,8EL,8ER,8FR,8GR,8HL,8HR,9FL,9FR,10EL,10ER,11AR,12AR,12BR,12FR,12HR,",7BL,,178
phen2308_b1,"1c,1g,2e,2g,3b,3f,3e,4e,4g,6b,6g,7b,8b,8c,8e,9b,9b,9d,9f,11f,10f,11g,11h,12a,12c,13b,13f,14g,18a","1B,5A,9B","1bl,1br,1cr,1gl,2er?,2gl,3bl,3fr,3el,4er,4gr,5al,5ar,6bl,6gl,7bl,8bl,8cl,8er,9bl,9br,9dr,9fl,11fl,10fr,11gl,11hl,12ar,12cr,13br,13fl,14gl,18ar",,3BR,202
